from	to
10237	1192
24303	1192
678033	1192
768632	1192
813286	1192
820694	1192
890101	1192
980611	1192
2065521	1192
3278961	1192
5442642	1192
5986922	1192
7234682	1192
7488952	1192
7619982	1192
8406952	1192
10220892	1192
12081832	1192
13280692	1192
14063540	1192
14092729	1192
14106207	1192
14142956	1192
14144520	1192
14173840	1192
14262217	1192
14454892	1192
15174710	1192
15356145	1192
15458694	1192
15675138	1192
15784302	1192
16837019	1192
17383566	1192
17567533	1192
17807633	1192
17833574	1192
17914772	1192
17957392	1192
29429945	1192
3252	2426
678033	2426
761975	2426
890101	2426
4119741	2426
5815592	2426
12451342	2426
23271088	2426
2426	3252
890101	3252
16896485	3252
10237	3365
775142	3365
813286	3365
3497941	3365
3819931	3365
5469742	3365
7619982	3365
7730052	3365
7825642	3365
7827602	3365
9532402	3365
10791692	3365
11270992	3365
11740672	3365
12081832	3365
12272322	3365
12615912	3365
13491312	3365
13493302	3365
14129299	3365
14144520	3365
14173840	3365
14261642	3365
14270329	3365
14347931	3365
14377605	3365
14377872	3365
14455321	3365
14465607	3365
14511951	3365
14728168	3365
14752085	3365
15182798	3365
15201891	3365
15356145	3365
15458694	3365
15473574	3365
15743485	3365
15762819	3365
15807367	3365
15919864	3365
16021608	3365
16313934	3365
16370091	3365
16545692	3365
16674443	3365
16781837	3365
16906137	3365
17094311	3365
17150022	3365
17376439	3365
17489079	3365
17567533	3365
18172905	3365
18223040	3365
18401107	3365
18464266	3365
18618881	3365
18655567	3365
18791763	3365
20720536	3365
21253935	3365
21307076	3365
21567649	3365
21696279	3365
24712487	3365
24769507	3365
26091643	3365
26657119	3365
26670829	3365
27156793	3365
28425127	3365
28448216	3365
47762195	3365
813286	8633
2884771	8633
7619982	8633
15359014	8633
18634085	8633
26657119	8633
41402184	8633
1192	10237
3365	10237
10450	10237
678033	10237
783837	10237
798945	10237
813286	10237
820694	10237
890101	10237
3278961	10237
7807292	10237
8035452	10237
9562092	10237
10220892	10237
10791692	10237
12081832	10237
12349942	10237
14075156	10237
14129299	10237
14142956	10237
14370357	10237
14412101	10237
14437914	10237
14511951	10237
14885620	10237
14921945	10237
14960700	10237
15174710	10237
15356145	10237
15374640	10237
15458694	10237
15675138	10237
15762819	10237
16370091	10237
16664681	10237
17567533	10237
18791763	10237
20519933	10237
35666789	10237
1192	10450
10237	10450
678033	10450
756018	10450
798945	10450
813286	10450
820585	10450
820694	10450
2065521	10450
3278961	10450
7234682	10450
8431652	10450
9562092	10450
13280692	10450
13919072	10450
14437914	10450
14454892	10450
14759966	10450
14819061	10450
15174710	10450
15458694	10450
15473574	10450
15816582	10450
16664681	10450
16684054	10450
17502790	10450
17567533	10450
17914772	10450
18456220	10450
20007904	10450
22113107	10450
813286	13413
820694	13413
980611	13413
1015991	13413
1759131	13413
3497941	13413
5757222	13413
7234682	13413
9697962	13413
10220892	13413
10791692	13413
12081832	13413
14173840	13413
14247122	13413
14347931	13413
14465607	13413
15292813	13413
15294551	13413
15458694	13413
15919864	13413
17150022	13413
18055737	13413
18057537	13413
18365568	13413
19128897	13413
23255247	13413
1192	24303
13413	24303
756018	24303
813286	24303
2608911	24303
5950272	24303
6980622	24303
7234682	24303
7619982	24303
7827602	24303
8542882	24303
9480572	24303
11270992	24303
12144232	24303
13280692	24303
14389132	24303
14437914	24303
14465607	24303
14720411	24303
14728168	24303
15784302	24303
15850830	24303
16037181	24303
16120295	24303
16305494	24303
16504112	24303
16837019	24303
16887628	24303
17006036	24303
17611447	24303
17777458	24303
17989541	24303
18548184	24303
18664838	24303
18717803	24303
18774342	24303
18791763	24303
20405322	24303
20859704	24303
20958510	24303
21044127	24303
21627881	24303
24733117	24303
25910039	24303
27512951	24303
658643	38003
813286	38003
1015991	38003
3497941	38003
15493908	38003
