'id','id_author','id_tweet','tweet','createdAt','polarity'
'157','67923','301256339240407040','Law of Unintended Consequences Strikes Obamacare  US Health Crisis http://t.co/UJDbhX7u','2013-05-16 22:00:37','neg'
'160','67923','260567654513917952','Obama has done everything but call Romney a liar #debate','2013-05-16 21:59:54','neg'
'228','716543','1344650970','Obama 08 campaign had no dev server; all changes were made live. Cool. Scary. #sxsw | via @marlaerwin','2013-05-16 17:28:00','neg'
'229','716543','121746558931836928','@BarackObama We are mourning a visionary. Your hashtag is offensive.','2013-05-16 17:26:24','neg'
'587','1624111','29436514991','RT @sacca: Ever ask what the fuck Obama has done so far?http://whatthefuckhasobamadonesofar.com/ (via @heif)','2013-05-16 22:13:00','neg'
'589','1624111','8317329788108801','Difference in administrations: Shoot hoops w/Obama, he''ll take a shot in the lip. Go hunting w/Cheney, you just get shot.','2013-05-16 22:14:29','pos'
'647','1828441','2278822264','President Obama Defends Regulation of Risk. http://tinyurl.com/mr4r73 Maybe he should regulate the regulators or better regulate the weather','2013-05-16 22:30:02','neg'
'648','1828441','991000449','Obama''s vision for America is not mine; Bracing myself for change; Glad it''s over.','2013-05-16 22:30:12','neg'
'650','1828441','991140762','Good speeches from McCain and Obama.  It is nice to have democrats motivated rather the ball and chain that they''ve been.','2013-05-16 22:30:44','pos'
'651','1831611','185150699322093568','When is Newt going to fix these $4 gas prices....or is that Obama? #yaright (@ QuikTrip w/ 2 others) [pic]: http://t.co/1R03prf9','2013-05-16 22:23:50','neg'
'652','1831611','116696276485144576','Dear "I hate change" facebook people. Where were you back in 08? Did Obama cause your recent bitterness? #attachwatch','2013-05-16 22:24:40','pos'
'653','1831611','177966940814458880','Except @RonPaul http://t.co/uRNf86vy  RT @lottburger: I really feel sorry for conservative Americans. Their choices for president are shit.','2013-05-16 22:26:10','pos'
'693','2056341','218350025607098370','Touchdown, Obama!','2013-05-16 17:52:35','pos'
'726','2189991','163340755086225408','Obamas Proposal: Forbid Dropping Out http://t.co/tq8Tpf80 - I love the "education IRA" for dropouts idea.','2013-05-16 22:31:23','pos'
'729','2189991','874993856','@ceanders  "When the President Talks to God" + some other Bright Eyes songs are anti-Iraq. Not Conor''s best stuff, though.','2013-05-16 22:32:36','neg'
'730','2189991','936670436','Obama - outdebated... there''s no room for gray/corrections in a debate #current','2013-05-16 22:32:28','neg'
'836','2857511','1061263854','5 president''s worse then george w bush http://bit.ly/FWdz','2013-05-18 15:37:58','neg'
'838','2857511','999092430','really need to see how obama handles a new world. try your hand at this http://bit.ly/1cVdbP','2013-05-18 15:37:06','neg'
'840','2857511','5005996142','@brileigh85 so i had some questions for you about obama and his nobel peace prize...','2013-05-18 15:36:44','neg'
'891','3150841','826535498','Congrats on the nomination @BarackObama!','2013-05-18 15:33:19','pos'
'892','3150841','992263300','Election coverage was updated on the Jumbotron every intermission: when Obama was announced as winner, the whole arena cheered. Great moment','2013-05-18 15:33:42','pos'
