id,id_author,id_tweet,text,label,moralbert,roberta_mmp,roberta_mm,liwc_mfd,persp_bert,human_annot,moral_label,moral_label_polarity,moral_label2
157,67923,301256339240407040,Law of Unintended Consequences Strikes Obamacare  US Health Crisis http://t.co/UJDbhX7u,neg,nonmoral,nonmoral,care,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
160,67923,260567654513917952,Obama has done everything but call Romney a liar #debate,neg,authority,nonmoral,fairness,fairness,fairness,purity,fairness,authority,fairness
228,716543,1344650970,Obama 08 campaign had no dev server; all changes were made live. Cool. Scary. #sxsw | via @marlaerwin,neg,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,nonmoral,no moral,nonmoral
229,716543,121746558931836928,@BarackObama We are mourning a visionary. Your hashtag is offensive.,neg,purity,nonmoral,care,nonmoral,care,care,care,degradation,nonmoral
587,1624111,29436514991,RT @sacca: Ever ask what the fuck Obama has done so far?http://whatthefuckhasobamadonesofar.com/ (via @heif),neg,nonmoral,nonmoral,nonmoral,purity,authority,nonmoral,nonmoral,no moral,nonmoral
589,1624111,8317329788108801,"Difference in administrations: Shoot hoops w/Obama, he'll take a shot in the lip. Go hunting w/Cheney, you just get shot.",pos,authority,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,nonmoral,authority,nonmoral
647,1828441,2278822264,President Obama Defends Regulation of Risk. http://tinyurl.com/mr4r73 Maybe he should regulate the regulators or better regulate the weather,neg,authority,nonmoral,authority,nonmoral,fairness,authority,authority,authority,authority
648,1828441,991000449,Obama's vision for America is not mine; Bracing myself for change; Glad it's over.,neg,fairness,fairness,nonmoral,nonmoral,loyalty,loyalty,fairness,cheating,fairness
650,1828441,991140762,Good speeches from McCain and Obama.  It is nice to have democrats motivated rather the ball and chain that they've been.,pos,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,nonmoral,no moral,nonmoral
651,1831611,185150699322093568,When is Newt going to fix these $4 gas prices....or is that Obama? #yaright (@ QuikTrip w/ 2 others) [pic]: http://t.co/1R03prf9,neg,authority,authority,nonmoral,nonmoral,authority,authority,authority,authority,authority
652,1831611,116696276485144576,"Dear ""I hate change"" facebook people. Where were you back in 08? Did Obama cause your recent bitterness? #attachwatch",pos,nonmoral,nonmoral,nonmoral,nonmoral,care,care,nonmoral,no moral,nonmoral
653,1831611,177966940814458880,Except @RonPaul http://t.co/uRNf86vy  RT @lottburger: I really feel sorry for conservative Americans. Their choices for president are shit.,pos,care,care,care,authority,loyalty,care,care,harm,care
693,2056341,218350025607098370,"Touchdown, Obama!",pos,authority,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,nonmoral,authority,nonmoral
726,2189991,163340755086225408,"Obamas Proposal: Forbid Dropping Out http://t.co/tq8Tpf80 - I love the ""education IRA"" for dropouts idea.",pos,nonmoral,nonmoral,nonmoral,care,loyalty,nonmoral,nonmoral,no moral,nonmoral
729,2189991,874993856,"@ceanders  ""When the President Talks to God"" + some other Bright Eyes songs are anti-Iraq. Not Conor's best stuff, though.",neg,nonmoral,authority,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
730,2189991,936670436,Obama - outdebated... there's no room for gray/corrections in a debate #current,neg,nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,nonmoral,no moral,nonmoral
836,2857511,1061263854,5 president's worse then george w bush http://bit.ly/FWdz,neg,authority,purity,authority,authority,authority,authority,authority,authority,authority
838,2857511,999092430,really need to see how obama handles a new world. try your hand at this http://bit.ly/1cVdbP,neg,nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,nonmoral,no moral,nonmoral
840,2857511,5005996142,@brileigh85 so i had some questions for you about obama and his nobel peace prize...,neg,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,nonmoral,no moral,nonmoral
891,3150841,826535498,Congrats on the nomination @BarackObama!,pos,nonmoral,fairness,fairness,nonmoral,loyalty,fairness,fairness,no moral,fairness
892,3150841,992263300,"Election coverage was updated on the Jumbotron every intermission: when Obama was announced as winner, the whole arena cheered. Great moment",pos,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,nonmoral,no moral,nonmoral
893,3150841,936556484,"Watching the debates... if Obama doesn't win this election, I lose all faith in America. And trust me, its already on thin ice.",pos,nonmoral,loyalty,nonmoral,purity,loyalty,loyalty,loyalty,no moral,nonmoral
929,3538981,936661631,"That was a good answer from Obama on a balanced agenda and prioritization of our resources.  Versus being ""all in on Iraq.""",pos,nonmoral,loyalty,fairness,nonmoral,loyalty,loyalty,loyalty,no moral,nonmoral
930,3538981,980377677,"Obama is wiping the floor with the opposition here. They shot themselves as often as anything else with the whole ""real americans"" thing.",pos,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
1102,5502882,944160371,"I'm tempted to want 4 years of palinisms, but it's prob best to enjoy it now. nip it in the bud. vote obama. and say bye to fey. #current",pos,nonmoral,nonmoral,loyalty,nonmoral,loyalty,loyalty,loyalty,no moral,nonmoral
1241,6035262,123800854477279233,Baffling to me how President's Council on Jobs can focus on infrastructure for competitiveness and not discuss connectivity and networks.,neg,nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,nonmoral,no moral,nonmoral
1243,6035262,263753536909750273,@MichelleObama Today I did the deed in NC.  I went with a neighbor and we both voted for President Obama. Here's to 4 more years!,pos,nonmoral,nonmoral,care,nonmoral,loyalty,nonmoral,nonmoral,no moral,nonmoral
1257,6117452,266061115635671042,"@ryokoszk awww, well no worries--you've woken to four more years of Obama :)",neg,nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,nonmoral,no moral,nonmoral
1258,6117452,260617435147804672,"@lisarein Yep, RKftS (Robot Killers from the Sky)--I mean--drones are all the rage to Obama *and* Romney :/ #debate",neg,nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,nonmoral,no moral,nonmoral
