"tweet.id"	"pub.date.GMT"	"content"	"dataset.author.name"	"dataset.author.nickname"	"rating.1"	"rating.2"	"rating.3"	"rating.4"	"rating.5"	"rating.6"	"rating.7"	"rating.8"	"text"	"created_at"	"user.id"	"user.screen_name"
"936469851"	"9/27/08 1:01"	"Watching by myself  #tweetdebate Not drinking :( waiting to start cringing at McCains blunders"	"drgilpin"	"Dawn Gilpin"	"1"	"1"	"4"	""	""	""	""	""	"Watching by myself  #tweetdebate Not drinking :( waiting to start cringing at McCains blunders"	"Sat Sep 27 01:01:53 +0000 2008"	"10323542"	"b_e_x"
"936470432"	"9/27/08 1:02"	"@ahg3 @MichDot Yeah, slime was actually my second choice, can't say what the first one was. Okay, we're rolling..."	"starweaver"	""	"1"	"1"	"1"	""	""	""	""	""	"@ahg3 @MichDot Yeah, slime was actually my second choice, can't say what the first one was. Okay, we're rolling..."	"Sat Sep 27 01:02:14 +0000 2008"	"11752272"	"jonathanfields"
"936472030"	"9/27/08 1:03"	"Preparing to have a heart attack #tweetdebate"	"kyeung808"	"Ken Yeung"	"1"	"1"	"1"	"1.0"	""	""	""	""	"Preparing to have a heart attack #tweetdebate"	"Sat Sep 27 01:03:08 +0000 2008"	"716543"	"joespurr"
"936472042"	"9/27/08 1:03"	"no debate moderators under 50, sorry  #tweetdebate"	"rebot"	""	"1"	"1"	"4"	"1.0"	""	""	""	""	"no debate moderators under 50, sorry  #tweetdebate"	"Sat Sep 27 01:03:08 +0000 2008"	"14759482"	"brookecan"
"936472907"	"9/27/08 1:03"	"@current Now staring at black screen on http://www.current.com/debate  grrrrrrrrrrrrrrr  #current"	"Karoli"	"Karoli"	"1"	"4"	"1"	""	""	""	""	""	"@current Now staring at black screen on http://www.current.com/debate  grrrrrrrrrrrrrrr  #current"	"Sat Sep 27 01:03:33 +0000 2008"	"6035262"	"mojosd"
"936472928"	"9/27/08 1:03"	"Introducing McCain and Obama. Wait...McCain SHOWED UP! Wow...guess the crisis in Washington is over? #tweetdebate"	"Nicolas Ward"	""	"1"	"1"	"1"	""	""	""	""	""	"Introducing McCain and Obama. Wait...McCain SHOWED UP! Wow...guess the crisis in Washington is over? #tweetdebate"	"Sat Sep 27 01:03:33 +0000 2008"	"9075622"	"thekenyeung"
"936474032"	"9/27/08 1:04"	"#tweetdebate nice how Obama held McCains hand and used his free hand to wave to the audience while keeping McCain from doing so"	"kellyrfeller"	"Kelly Feller"	"1"	"2"	"1"	""	""	""	""	""	"#tweetdebate nice how Obama held McCains hand and used his free hand to wave to the audience while keeping McCain from doing so"	"Sat Sep 27 01:04:10 +0000 2008"	"11765872"	"ajmurmann"
"936475544"	"9/27/08 1:05"	"Obama -2 it an occupation not war #tweetdebate"	"jas_aiken"	"jas_aiken"	"1"	"1"	"1"	"3.0"	""	""	""	""	"Obama -2 it an occupation not war #tweetdebate"	"Sat Sep 27 01:05:05 +0000 2008"	"808758"	"naum"
"936476318"	"9/27/08 1:05"	"@TDefren  I'm very nervous, yes #tweetdebate"	"barbaranixon"	"Barbara B. Nixon"	"1"	"1"	"4"	""	""	""	""	""	"@TDefren  I'm very nervous, yes #tweetdebate"	"Sat Sep 27 01:05:34 +0000 2008"	"12271492"	"drgilpin"
"936476394"	"9/27/08 1:05"	"#tweetdebate no golden parachutes no padding CEOs - Obama"	"guiambros"	"Gui Ambros"	"1"	"1"	"4"	""	""	""	""	""	"#tweetdebate no golden parachutes no padding CEOs - Obama"	"Sat Sep 27 01:05:38 +0000 2008"	"1221471"	"shashib"
"936477914"	"9/27/08 1:06"	"Q for Obama. Does the avg American know what a golden parachute is?  #tweetdebate"	"AlbertMaruggi"	"Albert Maruggi"	"4"	"1"	"1"	""	""	""	""	""	"Q for Obama. Does the avg American know what a golden parachute is?  #tweetdebate"	"Sat Sep 27 01:06:29 +0000 2008"	"13918302"	"barbaranixon"
"936478426"	"9/27/08 1:06"	"McCain just gave a cheap plug to Ed Kennedy -1 #tweetdebate #current"	"themurmish"	"A. Murmann"	"1"	"1"	"1"	""	""	""	""	""	"McCain just gave a cheap plug to Ed Kennedy -1 #tweetdebate #current"	"Sat Sep 27 01:06:45 +0000 2008"	"9075622"	"thekenyeung"
"936478519"	"9/27/08 1:06"	"@current current channel reception is continually sucking. Gotta love comcast"	"TopDogVienna"	"TopDogVienna"	"1"	"1"	"4"	""	""	""	""	""	"@current current channel reception is continually sucking. Gotta love comcast"	"Sat Sep 27 01:06:48 +0000 2008"	"10450342"	"starweaver"
"936478533"	"9/27/08 1:06"	"McCain -3 for Kenndey comment #tweetdebate"	"kdpaine"	"Katie Delahaye Paine"	"3"	"1"	"1"	""	""	""	""	""	"McCain -3 for Kenndey comment #tweetdebate"	"Sat Sep 27 01:06:48 +0000 2008"	"11765872"	"ajmurmann"
"936478667"	"9/27/08 1:06"	"McCain -2 for not knowing Kennedy is home and watching the debate  #tweetdebate"	"dabloguiman"	"Dabloguiman"	"1"	"1"	"1"	""	""	""	""	""	"McCain -2 for not knowing Kennedy is home and watching the debate  #tweetdebate"	"Sat Sep 27 01:06:52 +0000 2008"	"14935605"	"bluejack"
"936479031"	"9/27/08 1:07"	"#tweetdebate McCain starts awkwardly"	"daveevans"	"David Evans"	"1"	"1"	"1"	""	""	""	""	""	"#tweetdebate McCain starts awkwardly"	"Sat Sep 27 01:07:03 +0000 2008"	"14570089"	"danstuart"
"936479038"	"9/27/08 1:07"	"-1 McCain for stalling with faux sympathy #tweetdebate"	"KennyL"	"Kenny Lauer"	"1"	"2"	"1"	""	""	""	""	""	"-1 McCain for stalling with faux sympathy #tweetdebate"	"Sat Sep 27 01:07:03 +0000 2008"	"10846482"	"mediaphyter"
"936479425"	"9/27/08 1:07"	"@andrewa121 I only get OTA HD with my EyeTV 500."	"TopDogVienna"	"TopDogVienna"	"1"	"1"	"4"	""	""	""	""	""	"@andrewa121 I only get OTA HD with my EyeTV 500."	"Sat Sep 27 01:07:14 +0000 2008"	"12884962"	"ultranurd"
"936480648"	"9/27/08 1:07"	"McCain is talking about bipartisan negotiation? Uh...no... -1 pt. #tweetdebate #current"	"ferret67"	"ferret67"	"1"	"1"	"1"	""	""	""	""	""	"McCain is talking about bipartisan negotiation? Uh...no... -1 pt. #tweetdebate #current"	"Sat Sep 27 01:07:52 +0000 2008"	"9075622"	"thekenyeung"
"936481104"	"9/27/08 1:08"	"dear john, they were sitting down till you came and stirred up a hornets' nest. pulease -4 #tweetdebate"	"kdpaine"	"Katie Delahaye Paine"	"1"	"1"	"1"	""	""	""	""	""	"dear john, they were sitting down till you came and stirred up a hornets' nest. pulease -4 #tweetdebate"	"Sat Sep 27 01:08:07 +0000 2008"	"980611"	"karoli"
"936481174"	"9/27/08 1:08"	"@andrewa121 He looks and sounds pretty tired."	"PinkOliveFamily"	"Susan or Sus"	"1"	"1"	"1"	""	""	""	""	""	"@andrewa121 He looks and sounds pretty tired."	"Sat Sep 27 01:08:09 +0000 2008"	"12884962"	"ultranurd"
"936481635"	"9/27/08 1:08"	"@current Or its the beginning of the end of the beginning of the end.. Sheesh."	"xylem"	"Joel Richman "	"1"	"1"	"1"	"4.0"	""	""	""	""	"@current Or its the beginning of the end of the beginning of the end.. Sheesh."	"Sat Sep 27 01:08:24 +0000 2008"	"10450342"	"starweaver"
"936481733"	"9/27/08 1:08"	"McCain -2 for a totally muddled answer on what the republicans are doing #tweetdebate"	"Duhh"	"Duhh"	"1"	"1"	"1"	""	""	""	""	""	"McCain -2 for a totally muddled answer on what the republicans are doing #tweetdebate"	"Sat Sep 27 01:08:27 +0000 2008"	"14935605"	"bluejack"
"936482365"	"9/27/08 1:08"	"McCain: this is the end of the beginning. huh? #tweetdebate"	"gwfrink3"	"George Frink"	"3"	"1"	"1"	""	""	""	""	""	"McCain: this is the end of the beginning. huh? #tweetdebate"	"Sat Sep 27 01:08:46 +0000 2008"	"7862582"	"gminks"
"936482757"	"9/27/08 1:08"	"McCain -2 gving credit to house republicans #tweetdebate"	"mhorta"	"Marco"	"1"	"1"	"1"	""	""	""	""	""	"McCain -2 gving credit to house republicans #tweetdebate"	"Sat Sep 27 01:08:59 +0000 2008"	"808758"	"naum"
