from	to
607	666913
607	789254
607	812825
607	816950
607	816952
607	848901
607	1831611
607	1911871
607	8217552
607	8890092
607	9640622
607	9721152
607	12814822
607	13593692
607	14181225
607	14640856
888	12665
888	79543
888	816950
888	1050111
888	1201491
888	5412692
888	7770342
888	9075622
888	10499812
888	12814822
888	14312285
888	14427006
888	14456822
1705	14079705
2565	806323
2565	9870772
2565	12814822
2606	4556
2606	79543
2606	2765491
2606	9922782
2606	14270757
4556	2606
4556	1201491
4556	7956142
10355	980611
10355	1201491
10355	6424612
10355	6485392
10355	6789882
10355	7702542
10355	7770342
10355	7898902
10355	8567882
10355	9534012
10355	10054832
10355	10203582
10355	11253262
10355	12814822
10355	14173840
10355	14225711
10355	14293032
10355	14437914
10355	14756912
10355	14936051
10355	14983059
10355	15077831
10355	15115131
10355	15487858
10355	15672036
10355	15893319
10516	1221471
10516	1831611
10516	4923701
10516	5839692
10516	12814822
10516	14756912
11041	1705
11041	13403
11041	29283
11041	48263
11041	69583
11041	71323
11041	79543
11041	608473
11041	662763
11041	755452
11041	759287
11041	766298
11041	781828
11041	785164
11041	799333
11041	816950
11041	816952
11041	838791
11041	1040391
11041	1196381
11041	1201491
11041	1221471
11041	1754241
11041	2056341
11041	2059051
11041	2878161
11041	3351541
11041	4268761
11041	4335961
11041	6875072
11041	6904702
11041	7478632
11041	7770342
11041	8514952
11041	9075622
11041	9343272
11041	9376172
11041	9439432
11041	10290042
11041	11063312
11041	11253262
11041	11362082
11041	11488202
11041	11765872
11041	11957802
11041	12309692
11041	12814822
11041	14057849
11041	14084825
11041	14386696
11041	14437914
11041	14949434
11041	15301800
11041	16160617
11781	1705
11781	79543
11781	1221471
11781	1878461
11781	3339171
11781	10846482
11781	14203462
11781	14447648
11781	15794020
11781	16156062
12665	888
12665	8069572
13403	755452
13403	1355401
13403	5511332
13403	7936932
13403	10771662
13403	12814822
13403	14063622
13403	14084825
13403	14437914
13403	14905300
13403	14983059
13403	15834037
13453	79543
13453	816952
13453	980611
13453	7752402
13453	8069572
13453	9317092
13453	11752272
13453	14063622
13527	29283
13527	1049321
13527	4215801
13527	11253262
13527	14908714
13527	15136484
13527	15751967
13527	15935927
22203	79543
22203	12046252
22203	14099695
22203	14296836
22203	14437914
22203	14526684
22203	15224134
25863	69583
25863	2878161
25863	14437914
29283	11041
29283	13527
29283	79543
29283	286703
29283	662763
29283	806323
29283	1040391
29283	1050111
